Record Sequence Number,EQID_Code,EQID,Epicenter Latitude (deg; positive N),Epicenter Longitude (deg; positive E),Hypocenter Depth (km),Magnitude,Station ID,Station Code,SSN,Station Latitude (deg positive N),Station Longitude (deg positive E),FBA,Tn,P*,Cat,Repi_OpenQuake,Rrup_OpenQuake,Rhypo_OpenQuake,Tcorner,Rvolc [km],FBA_RvolcBased,Total,dBe,dWe,dBe Tau Fixed,dWe Tau Fixed,Magbin,R_Bin,Rvolc_Bin,Rvolc[%],dWe_Convert,Cat_Tag,T_0.01_RotD50,T_0.02_RotD50,T_0.03_RotD50,T_0.05_RotD50,T_0.075_RotD50,T_0.1_RotD50,T_0.15_RotD50,T_0.2_RotD50,T_0.25_RotD50,T_0.3_RotD50,T_0.4_RotD50,T_0.5_RotD50,T_0.75_RotD50,T_1.0_RotD50,T_1.5_RotD50,T_2.0_RotD50,T_3.0_RotD50,T_4.0_RotD50,T_5.0_RotD50,T_6.0_RotD50,T_7.5_RotD50,T_10.0_RotD50
73,CO_20080524192044,53,4.374,-73.708,14.6999999999999,5.8671,RNAC_11,CANAP,33,4.5502,-74.5141,0,0.24,2.02542500061549,3,91.48043643,86.62322907,93.55175108,13.55932203389831,0.0,0,-1.022820398018134,-0.0735,-0.9493203980181337,-0.10375249495187,-0.9190679030662636,5.5<= M < 6.0,50<= R < 100,,0.0,0.3870039427506279,s3,0.0048475988419979,0.0048936363730886,0.0049869139388379,0.0055561019796126,0.0100456848807339,0.010680260540265,0.0125900021508664,0.0098132211569826,0.0104979516411824,0.0106305683282364,0.0106689454536187,0.0086770728124362,0.0065968918501529,0.0068032045219164,0.0045552211722731,0.0036730122650356,0.0023436527553516,0.0013404886197757,0.0012589168491335,0.0012611267003058,0.0007583204872579,0.0004092626156982
74,CO_20100729193445,64,3.907,-75.097,33.1,5.0567,RNAC_11,CANAP,33,4.5502,-74.5141,0,0.24,2.02542500061549,3,96.31911539,99.46161614,102.4973694,15.48886737657309,0.0,0,0.7851796019818663,0.5211,0.2640796019818663,0.4637739352885272,0.3214056666933391,5.0<= M < 5.5,50<= R < 100,,0.0,1.302231852411525,s3,0.0110987029663608,0.0113424664831804,0.0121940216717635,0.01878310872579,0.0380073707237512,0.0271817561365953,0.0407156503873598,0.030353100570846,0.0346140959021406,0.0234316020591233,0.0117310288786952,0.0080169034638124,0.0023280055891946,0.0014958779266055,0.0005223032436289,0.0003497624740061,0.0001490783995922,7.792176146788991e-05,5.78931498470948e-05,4.093774006116208e-05,2.302449745158002e-05,1.266980937818552e-05
85,CO_19940913100134,2,7.105,-76.665,14.0,6.0202,RNAC_14,CANSE,35,5.2614,-75.8125,1,0.12,5.82840990676409,2,224.550905,218.534046,225.4856764,3.055651044650701,0.0,0,-0.01887798163772457,0.0025,-0.02137798163772457,-0.1023507729044186,0.083472791266694,6.0<= M < 6.5,200<= R < 250,,0.0,0.9788489077232929,s2,0.0043688363506625,0.0044563005158002,0.0046950703904179,0.0048827506687054,0.005249090393476,0.0074116967624872,0.0069928659429153,0.0094543992426095,0.0100211446004077,0.010944668980632,0.0103327071355759,0.0074462650244648,0.0093849376493374,0.0083990748042813,0.0042372675280326,0.002035716972477,0.0010119935107033,,,,,
89,CO_19961104172500,13,7.364,-77.38,14.0,6.2562,RNAC_14,CANSE,35,5.2614,-75.8125,1,0.12,5.82840990676409,2,294.4568516,284.5258861,295.1688579,1.640184520758585,0.0,0,-0.8478779816377247,0.1477,-0.9955779816377246,-0.1121497366126155,-0.7357282450251091,6.0<= M < 6.5,250<= R < 300,,0.0,0.3695098129255998,s2,0.0016402433649337,0.0016500221794087,0.0016561688634046,0.0017190839480122,0.0019170142385321,0.0027322579164118,0.0030185180387359,0.0032558995035677,0.0050782340540265,0.0048239920428134,0.0034749308328236,0.0028216758868501,0.0025740451039755,0.0011898215891946,0.0004537870774719,,,,,,,
93,CO_20070424085334,47,5.621,-75.895,50.6,5.1307,RNAC_14,CANSE,35,5.2614,-75.8125,0,0.12,5.82840990676409,2,40.74497048,65.20176368,67.84266077,1.823361823361824,0.0,0,2.132322018362276,0.6116,1.520722018362276,0.3734505728446608,1.758871445517615,5.0<= M < 5.5,50<= R < 100,,0.0,4.575527617750927,s2,0.1134424039755351,0.1146914650356778,0.1169620042813455,0.1381020101936799,0.2340324595310907,0.2875115963302752,0.3692091765545361,0.2285510257900102,0.0880895656167176,0.0668660991946992,0.028617435698267,0.0159955608970438,0.0095539815749235,0.0053995389490316,0.0019865572008154,,,,,,,
95,CO_20080524192044,53,4.374,-73.708,14.6999999999999,5.8671,RNAC_14,CANSE,35,5.2614,-75.8125,1,0.12,5.82840990676409,2,253.2082568,247.4022108,254.0694277,1.6,32.8300660074939,1,-1.043177981637724,-0.0735,-0.9696779816377246,-0.10375249495187,-0.9394254866858545,5.5<= M < 6.0,200<= R < 250,25.0,12.96563801765168,0.3792051294592695,s2,0.0008481658685015,0.0008657252313965,0.0008521479745158,0.0008700573904179,0.0009255988990825,0.0009244087747196,0.0013215750774719,0.0010708319908256,0.0013742618083588,0.001862190335372,0.0017418947410805,0.0020302236432212,0.0021498509347604,0.00215154853211,0.0013067206238532,,,,,,,
101,CO_20140105033638,84,4.609,-76.6867,32.7999999999999,5.5045,RNAC_14,CANSE,35,5.2614,-75.8125,0,0.12,5.82840990676409,2,120.8881326,122.0819526,126.5671978,1.6,0.0,0,-0.3575779816377246,-0.1887,-0.1688779816377246,-0.3002000301742843,-0.05737795146344027,5.5<= M < 6.0,100<= R < 150,,0.0,0.8446119552663355,s2,0.0048431364362895,0.0049936977094801,0.0053007907380224,0.0068314188409785,0.0147149238634046,0.0213531517635066,0.0107760125280326,0.0099056447828746,0.0072497038583078,0.0052551948277268,0.0039560424362895,0.0037820206503567,0.0020468017247706,0.0006611507961264,0.0004596796962283,,,,,,,
105,CO_19990125181918,20,4.445,-75.659,17.0,6.1355,RNAC_22,CARBE,38,4.2505,-74.4338,1,0.24,1.73004010956933,3,137.8327052,130.1666088,139.9136297,4.726735598227473,23.5125870089474,1,-0.2119005806812277,-0.0419,-0.1700005806812277,-0.0906508326576597,-0.121249748023568,6.0<= M < 6.5,100<= R < 150,0.0,17.05878657378873,0.8436643266962045,s3,0.0068906988430173,0.0069123499816513,0.006951194285423,0.0071319451437308,0.0077997216371049,0.0091872798399592,0.0121661510193679,0.0161266659836901,0.0224038715494393,0.018517188756371,0.0190155059429153,0.0147393804383282,0.0105595401630988,0.0094843715229357,0.0065886948807339,0.0051548058358817,0.0041946628501529,0.0019804729439347,,,,
107,CO_20080524192044,53,4.374,-73.708,14.6999999999999,5.8671,RNAC_22,CARBE,38,4.2505,-74.4338,0,0.24,1.73004010956933,3,81.60760989,77.78158431,84.14402537,7.948335817188276,0.0,0,-0.8630005806812278,-0.0735,-0.7895005806812277,-0.10375249495187,-0.7592480857293578,5.5<= M < 6.0,50<= R < 100,,0.0,0.4540715107491738,s3,0.0058781367013251,0.0059043268970438,0.0060522906136595,0.006284228914373,0.0070851825412844,0.0091513968501529,0.0116891856269113,0.0139441493272171,0.0142474212028542,0.0221605632313965,0.0151639528236493,0.0116988513455657,0.0072348922334352,0.0051266008246687,0.0038426798307849,0.0032314881977573,0.0026851929561671,0.0013120103649337,0.0010823509490316,0.0009205059092762,0.0005075896340468,
109,CO_20100729193445,64,3.907,-75.097,33.1,5.0567,RNAC_22,CARBE,38,4.2505,-74.4338,0,0.24,1.73004010956933,3,82.45994231,87.49200189,89.96565194,29.46593001841621,0.0,0,-0.002000580681227659,0.5211,-0.5231005806812277,0.4637739352885272,-0.4657745159697548,5.0<= M < 5.5,50<= R < 100,,0.0,0.5926800438348371,s3,0.0055474652864424,0.0056631201641182,0.0059283097573904,0.0071740816972477,0.0092680734576962,0.0118032401223241,0.0139088871559633,0.0106313121304791,0.0170049222528032,0.0169861988175331,0.0095036745667686,0.0099893446992864,0.0029832355626911,0.0011306582477064,0.0004840028511722,0.0002635000377166,0.0001134466799184,6.808173088685016e-05,4.275789500509684e-05,3.189105912334353e-05,1.820278389398573e-05,9.297522935779815e-06
117,CO_19990125181918,20,4.445,-75.659,17.0,6.1355,RNAC_4,ARMEC,24,4.5561,-75.6604,0,0.5,5.46994864512126,4,14.18140061,21.97096204,27.95510478,1.6,0.0,0,1.161307180108204,-0.0419,1.203207180108204,-0.0906508326576597,1.251958012765864,6.0<= M < 6.5,0<= R < 50,,0.0,3.330782229325684,s4,0.530861860958206,0.5506652546381243,0.5944480790010194,0.8544467373088686,1.250446018348624,0.9561950896024464,1.224778037716616,1.167183903160041,1.613914784913353,1.121629281345565,1.113038403669725,1.292294620795107,0.5147472836901121,0.2306249740061162,0.1042432940876656,,,,,,,
119,CO_20080524192044,53,4.374,-73.708,14.6999999999999,5.8671,RNAC_4,ARMEC,24,4.5561,-75.6604,1,0.5,5.46994864512126,4,217.3692824,211.7495102,218.3388945,1.6,28.36559951977469,1,0.5297071801082044,-0.0735,0.6032071801082044,-0.10375249495187,0.6334596750600744,5.5<= M < 6.0,200<= R < 250,25.0,13.04949770574147,1.827972044749137,s4,0.0097625698899082,0.0098414332293577,0.0099730781253822,0.0104427002242609,0.0120243805300713,0.0213878386442405,0.0259986639245667,0.0306381559633027,0.0163064030479102,0.0201678722528032,0.0318871804281345,0.0327868916717635,0.012674783883792,0.0050939611314984,0.0023859067665647,,,,,,,
122,CO_20100729193445,64,3.907,-75.097,33.1,5.0567,RNAC_4,ARMEC,24,4.5561,-75.6604,1,0.5,5.46994864512126,4,96.43156991,100.8559449,102.9408766,1.814840861141989,0.0,0,1.196107180108204,0.5211,0.6750071801082045,0.4637739352885272,0.7323332448196772,5.0<= M < 5.5,100<= R < 150,,0.0,1.964047077989759,s4,0.0318420849745158,0.0325849068399592,0.0335589288073394,0.0387447763710499,0.0600243904485219,0.1154002726809378,0.0881399895107033,0.0757228072069317,0.0369576892456676,0.0384349114576962,0.0469598273904179,0.0339844792048929,0.0080266521070336,0.0029822464281345,0.0013322654638124,,,,,,,
124,CO_20140105033638,84,4.609,-76.6867,32.7999999999999,5.5045,RNAC_4,ARMEC,24,4.5561,-75.6604,0,0.5,5.46994864512126,4,113.6461947,117.0213627,119.5611835,18.39418743676998,0.0,0,0.8253071801082045,-0.1887,1.014007180108204,-0.3002000301742843,1.125507210282489,5.5<= M < 6.0,100<= R < 150,,0.0,2.756625205997026,s4,0.0295457813761467,0.0299871516921508,0.0301114151783894,0.0318656486340468,0.0375204145565749,0.0494307076758409,0.0657870715086646,0.0542600618042813,0.0343108327624872,0.0503591480020387,0.0746204745667686,0.1060826655453618,0.0280805827828746,0.0091895896574923,0.003759050235474,0.0019937767981651,0.0007829388093781,0.0004397855953109,0.0002619968165137,0.000177324061162,0.0001172166931702,6.766007339449541e-05
125,CO_20140109125017,85,3.017,-75.9317,15.3999999999999,5.0104,RNAC_4,ARMEC,24,4.5561,-75.6604,1,0.5,5.46994864512126,4,173.8886754,172.1463529,174.874761,13.01871440195281,0.5430597422611801,1,0.5748071801082044,0.21,0.3648071801082045,0.209970453577446,0.3648367265307584,5.0<= M < 5.5,150<= R < 200,0.0,0.3123031106033602,1.440236275171118,s4,0.0055151287186544,0.0060712566850152,0.0063626347471967,0.0065224861060142,0.0084716996636085,0.0169445385728848,0.0149683774617737,0.0121299035168195,0.0076126286350662,0.0094106224882772,0.0101459502232415,0.0198299946585117,0.0038914800142711,0.0016971015616717,0.0008270572629969,0.0003676630142711,0.0001196885045871,6.673426707441386e-05,3.935856065239551e-05,2.786743425076453e-05,1.923199184505606e-05,1.015719571865443e-05
159,CO_19990125181918,20,4.445,-75.659,17.0,6.1355,RNAC_37,CBETA,45,2.7058,-75.4352,1,0.44,1.52468916401661,1,193.2439898,190.4682043,194.6188058,1.773835920177384,0.0,0,0.5089260961859774,-0.0419,0.5508260961859774,-0.0906508326576597,0.5995769288436371,6.0<= M < 6.5,150<= R < 200,,0.0,1.734685443153861,s1,0.0061898957777777,0.0062267762803261,0.006277416266055,0.0066390062538226,0.0070092196707441,0.0083028196146789,0.0105763696228338,0.0136741972986748,0.019875414933741,0.012684557991845,0.0151327929459734,0.0137775086340468,0.0088996025484199,0.00916666608053,0.0029532728786952,,,,,,,
164,CO_20100729193445,64,3.907,-75.097,33.1,5.0567,RNAC_252,MAL,196,4.01,-77.3318,1,0.22,1.97108042447752,3,248.9910105,248.3934175,251.3806025,2.201188641866608,0.0,0,-0.5858328259918039,0.5211,-1.106932825991804,0.4637739352885272,-1.049606761280331,5.0<= M < 5.5,200<= R < 250,,0.0,0.3305713275131218,s3,0.0005189996636085,0.0005300525280326,0.0007259030907237,0.000532578687054,0.0005540671467889,0.0006148928705402,0.0009413787522935,0.0012161392956167,0.0016509226024464,0.0013139630682976,0.0013606831794087,0.0011921544831804,0.0003754603078491,0.0002569535198776,0.0002408658848114,0.0001101439816513,,,,,,
